loss,created_at,avg_val_loss,learning_rate,epoch
"tensor(4.8882, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:32.866408,,,
"tensor(4.4175, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:33.322959,,,
"tensor(4.6018, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:33.803865,,,
"tensor(4.9746, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:34.217514,,,
"tensor(4.8597, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:34.572126,,,
"tensor(4.3746, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:34.869091,,,
"tensor(4.5063, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:35.191298,,,
"tensor(4.5161, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:35.501571,,,
,2021-02-28 17:30:36.295995,4.672269344329834,0.0005,4.0
"tensor(4.6069, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:36.629216,,,
"tensor(4.9570, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:37.012344,,,
"tensor(4.4810, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:37.310134,,,
"tensor(4.9508, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:37.651525,,,
"tensor(4.9316, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:37.987469,,,
"tensor(4.4838, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:38.335662,,,
"tensor(4.5128, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:38.689803,,,
"tensor(4.5048, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:38.970109,,,
"tensor(4.4493, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:39.352822,,,
"tensor(4.4190, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:39.636130,,,
"tensor(4.4686, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:30:39.999801,,,
